name;type;manufacturer;serial_number;model;poz;location;tag
Эл. привод;РэмТэк;ООО НПП ТЭК;21223;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-2;Кш 8.2
Эл. привод;РэмТэк;ООО НПП ТЭК;21218;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-2;Кш 9.2
Эл. привод;РэмТэк;ООО НПП ТЭК;21048;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-2;Кр 3\2
Эл. привод;РэмТэк;ООО НПП ТЭК;21139;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-2;Зд 1\2
Эл. привод;РэмТэк;ООО НПП ТЭК;21251;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-3;Кш 8.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21245;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-3;Кш 9.3
Эл. привод;РэмТэк;ООО НПП ТЭК;21090;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-3;Кр 3\3
Эл. привод;РэмТэк;ООО НПП ТЭК;21138;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-3;Зд 1\3
Эл. привод;РэмТэк;ООО НПП ТЭК;22653;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-4;Кш 9.4
Эл. привод;РэмТэк;ООО НПП ТЭК;21266;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-4;Кш 8.4
Эл. привод;РэмТэк;ООО НПП ТЭК;21098;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-4;Кр 3\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21143;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-4;Зд 1\4
Эл. привод;РэмТэк;ООО НПП ТЭК;21226;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-5;Кш 8.5
Эл. привод;РэмТэк;ООО НПП ТЭК;21242;П.250.4.60.8100.V.15.3.УХЛ1;КГС 206;скв-5;Кш 9.5
Эл. привод;РэмТэк;ООО НПП ТЭК;21087;Л.18000.4.100.298.8100.V.16.3.УХЛ1;КГС 206;скв-5;Кр 3\5
Эл. привод;РэмТэк;ООО НПП ТЭК;21144;М.300.60.Б.8100.S.15.3.УХЛ1;КГС 206;скв-5;Зд 1\5
